============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.04%     112.478us         0.04%     112.478us       1.562us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                            aten::alias         0.06%     152.923us         0.06%     152.923us       4.248us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                           aten::select         0.09%     252.780us         0.11%     289.899us       8.053us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                             aten::item         0.03%      78.564us        56.32%     155.282ms       4.313ms       0.000us         0.00%      56.993us       1.583us           0 B           0 B           0 B           0 B            36  
                                  cudaStreamSynchronize        56.05%     154.542ms        56.05%     154.542ms       4.293ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                  cudaDeviceSynchronize         0.00%       7.998us         0.00%       7.998us       7.998us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 275.731ms
Self CUDA time total: 239.463ms

Slow: 128 tokens in 0.96s (133.5 tok/s)
Token preview: [775, 1973, 97, 2453, 295, 695, 775, 866]

--- Part 2: Optimized ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us      73.448ms       618.39%      73.448ms      24.483ms           0 B           0 B           0 B           0 B             3  
## Call CompiledFxGraph fzamgvrm2e6yuzuvbicb3kep5ss6...         0.00%       0.000us         0.00%       0.000us       0.000us      42.432ms       357.25%      42.432ms       1.414ms           0 B           0 B           0 B           0 B            30  
                                               aten::mm         8.45%       6.837ms        12.09%       9.783ms      16.984us       5.518ms        46.46%       5.518ms       9.579us           0 B           0 B           0 B           0 B           576  
                     aten::_efficient_attention_forward         1.09%     885.210us         2.91%       2.358ms      32.756us       4.479ms        37.71%       4.479ms      62.215us       1.12 KB           8 B      24.51 MB     -48.52 MB            72  
fmha_cutlassF_bf16_aligned_32x128_gmem_sm80(PyTorchM...         0.00%       0.000us         0.00%       0.000us       0.000us       4.479ms        37.71%       4.479ms      62.215us           0 B           0 B           0 B           0 B            72  
## Call CompiledFxGraph fs77i5ukpg6dqypqmk7nlgbpe6pq...         0.00%       0.000us         0.00%       0.000us       0.000us       3.898ms        32.82%       3.898ms       1.299ms           0 B           0 B           0 B           0 B             3  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.586ms        30.20%       3.586ms       8.302us           0 B           0 B           0 B           0 B           432  
## Call CompiledFxGraph fkidgvjweeodia36fjgjpishep5f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.548ms        29.87%       3.548ms       1.183ms           0 B           0 B           0 B           0 B             3  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     738.819us         6.22%     738.819us      11.194us           0 B           0 B           0 B           0 B            66  
                    nvjet_tst_128x128_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     532.097us         4.48%     532.097us      17.737us           0 B           0 B           0 B           0 B            30  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.81%     653.772us         1.19%     960.987us      14.560us     525.434us         4.42%     525.434us       7.961us           0 B           0 B           0 B           0 B            66  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.00%       0.000us         0.00%       0.000us       0.000us     525.434us         4.42%     525.434us       7.961us           0 B           0 B           0 B           0 B            66  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     438.496us         3.69%     438.496us      36.541us           0 B           0 B           0 B           0 B            12  
     triton_poi_fused__unsafe_view_cat_transpose_view_5         0.71%     574.822us         1.05%     850.832us      12.891us     252.159us         2.12%     252.159us       3.821us           0 B           0 B           0 B           0 B            66  
     triton_poi_fused__unsafe_view_cat_transpose_view_5         0.00%       0.000us         0.00%       0.000us       0.000us     252.159us         2.12%     252.159us       3.821us           0 B           0 B           0 B           0 B            66  
                                           aten::argmax         0.91%     734.592us         1.38%       1.117ms      31.018us     167.046us         1.41%     167.046us       4.640us           0 B           0 B      18.00 KB      18.00 KB            36  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     167.046us         1.41%     167.046us       4.640us           0 B           0 B           0 B           0 B            36  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.89%     718.434us         1.28%       1.035ms      14.382us     152.289us         1.28%     152.289us       2.115us           0 B           0 B           0 B           0 B            72  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.00%       0.000us         0.00%       0.000us       0.000us     152.289us         1.28%     152.289us       2.115us           0 B           0 B           0 B           0 B            72  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.89%     717.823us         1.24%       1.000ms      15.155us     134.718us         1.13%     134.718us       2.041us           0 B           0 B           0 B           0 B            66  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us     134.718us         1.13%     134.718us       2.041us           0 B           0 B           0 B           0 B            66  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     110.592us         0.93%     110.592us       1.676us           0 B           0 B           0 B           0 B            66  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     102.274us         0.86%     102.274us       3.099us           0 B           0 B           0 B           0 B            33  
               triton_poi_fused__unsafe_view_mul_silu_8         0.72%     581.185us         1.05%     847.795us      12.845us      93.505us         0.79%      93.505us       1.417us           0 B           0 B           0 B           0 B            66  
               triton_poi_fused__unsafe_view_mul_silu_8         0.00%       0.000us         0.00%       0.000us       0.000us      93.505us         0.79%      93.505us       1.417us           0 B           0 B           0 B           0 B            66  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.59%     478.851us         0.81%     653.985us      18.166us      92.800us         0.78%      92.800us       2.578us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      92.800us         0.78%      92.800us       2.578us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.94%     761.246us         1.37%       1.108ms      30.790us      91.106us         0.77%      91.106us       2.531us           0 B           0 B           0 B           0 B            36  
